customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number
3,Bsc. Sample Customer 01,female,02/12/1970 01:36 PM,1.0,1.0,1.0,3.0,11731.0,4553.0,,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,1.0
4,Bsc. Sample Customer 02,female,11/13/1975 06:58 PM,1.0,0.0,0.0,2.0,13694.0,963.0,,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,1.0
5,Msc. Sample Customer 03,male,09/10/1971 10:07 AM,0.0,0.0,,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,
7,Sample Customer 04,male,10/23/1982 11:20 AM,0.0,0.0,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,1656.0,184.0,92.0,0.253609260797035,2021.0,1.0
8,Sample Customer 05,male,08/04/1969 10:22 PM,0.0,0.0,3.0,1.0,9187.0,10841.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,1258.0,441.0,6.0,0.1865687348395157,2021.0,1.0
9,Msc. Sample Customer 06,female,10/09/1968 04:01 AM,1.0,1.0,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,,84.0,0.1506456602849799,2011.0,1.0
11,Bsc. Sample Customer 07,male,07/19/1977 10:22 AM,1.0,1.0,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,1849.0,397.0,180.0,0.1642509924715683,2017.0,1.0
14,Msc. Sample Customer 08,male,11/28/1948 07:53 PM,1.0,0.0,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,1.0
16,Bsc. Sample Customer 09,female,10/27/2000 06:38 PM,0.0,0.0,1.0,7.0,11107.0,108.0,15.0,620.0,162.0,182.0,1094.0,487.0,607.0,89.0,683.0,37.0,1.0,2021.0,1.0
19,Phd. Sample Customer 10,female,09/05/1947 04:31 AM,1.0,2.0,3.0,3.0,8264.0,1660.0,19.0,266.0,399.0,514.0,1024.0,1405.0,819.0,168.0,533.0,65.0,0.157528602099963,2007.0,1.0
20,Msc. Sample Customer 11,female,10/26/1945 04:04 PM,1.0,0.0,1.0,5.0,35044.0,78.0,20.0,395.0,567.0,621.0,1000.0,910.0,1560.0,285.0,255.0,253.0,0.4308490612060748,2017.0,1.0
38,Bsc. Sample Customer 12,female,01/27/1978 08:53 PM,1.0,0.0,1.0,6.0,8371.0,205.0,13.0,218.0,379.0,316.0,493.0,1512.0,249.0,94.0,328.0,151.0,0.0615688647714884,2014.0,1.0
62,Msc. Sample Customer 13,female,03/17/1956 10:51 PM,2.0,2.0,,1.0,9973.0,3875.0,9.0,1206.0,857.0,1261.0,1486.0,1205.0,620.0,313.0,193.0,361.0,0.1108472703578988,2005.0,1.0
121,Msc. Sample Customer 14,female,09/25/1958 10:07 AM,1.0,1.0,1.0,5.0,5808.0,4276.0,14.0,253.0,1333.0,,810.0,688.0,527.0,53.0,365.0,234.0,0.3772197795413153,2015.0,1.0
